BS_ID	SQ_Value
BS_DGTPWJ59	NantOmics
BS_DHA5FMVW	NantOmics
BS_DMZP9G1H	NantOmics
BS_DPF1CX0G	NantOmics
BS_DRD9QXR5	NantOmics
BS_DRY58DTF	NantOmics
BS_DS438CXE	NantOmics
BS_DSS3S5XD	NantOmics
BS_DV86M0Y7	NantOmics
BS_DVCQ8XDZ	NantOmics
BS_DY88N5ZT	NantOmics
BS_DY9NTFQR	NantOmics
BS_E054DFJN	NantOmics
BS_E0N3PTPN	NantOmics
BS_E1CGF3KV	NantOmics
BS_E2Z940S4	NantOmics
BS_E3BAT4C1	NantOmics
BS_E3EJHXQV	NantOmics
BS_E4F1D721	NantOmics
BS_E4GC9EXR	NantOmics
BS_E4QK839R	NantOmics
BS_E60JZ9Z3	NantOmics
BS_E94QRJDW	NantOmics
BS_EBMCTR80	NantOmics
BS_EF775B3K	NantOmics
BS_EFE4YEK3	NantOmics
BS_EFEZB0ZH	NantOmics
BS_EHVYJAVA	NantOmics
BS_EJ9JKM1C	NantOmics
BS_EK5PCKY0	BGI@CHOP Genome Center
BS_EMMF4PZX	NantOmics
BS_EMYET8F4	NantOmics
BS_EN2VK7NY	NantOmics
BS_ENKG5GF3	NantOmics
BS_ERJAJ0KA	NantOmics
BS_ERWT0ZWE	NantOmics
BS_ET8CJXSF	NantOmics
BS_EVCAC3NH	BGI@CHOP Genome Center
BS_EXGBH3TD	NantOmics
BS_EXYHZ6D4	NantOmics
BS_EYSS0ZDS	NantOmics
BS_EYYMKWB7	NantOmics
BS_EZ3147MX	The Translational Genomics Research Institute
BS_F0JB4EAK	The Translational Genomics Research Institute
BS_F4E8R9VY	NantOmics
BS_F5BZSF3Q	NantOmics
BS_F6V1Y4QS	NantOmics
BS_F6Z5HFWH	NantOmics
BS_F8N6CFQE	NantOmics
BS_F9WKPDFG	NantOmics
BS_FAQQ0GCQ	NantOmics
BS_FAVRBEW7	NantOmics
BS_FBJ5Q54N	NantOmics
BS_FCAKKZ20	NantOmics
BS_FCDAH728	The Translational Genomics Research Institute
BS_FEPRNEXX	NantOmics
BS_FEV5A0HN	NantOmics
BS_FEYMKEK8	NantOmics
BS_FJWZ3M7V	NantOmics
BS_FJZPQZ2C	NantOmics
BS_FKDQJJB5	NantOmics
BS_FN07P04C	BGI
BS_FQX1PRAJ	NantOmics
BS_FRM9TG02	NantOmics
BS_FRZ76GEG	NantOmics
BS_FTKPQ5FZ	BGI@CHOP Genome Center
BS_FW5ECXXK	BGI@CHOP Genome Center
BS_FWMJPKCV	NantOmics
BS_FX2P2WEG	NantOmics
BS_FXJY0MNH	BGI
BS_FYRDYBMZ	NantOmics
BS_G00FHF3Q	NantOmics
BS_G1Y281HX	NantOmics
BS_G23JJAZY	BGI@CHOP Genome Center
BS_G3NN392N	The Translational Genomics Research Institute
BS_G3RJTBZD	NantOmics
BS_G5QBBHDV	NantOmics
BS_G63HYD6N	NantOmics
BS_G7AGNB5G	NantOmics
