BS_ID	SQ_Value
BS_PXCPK5XS	BGI@CHOP Genome Center
BS_PZVHMSYN	NantOmics
BS_Q13FQ8FV	NantOmics
BS_Q2T9ZRM0	NantOmics
BS_Q3TBCK4V	NantOmics
BS_Q5WZYWCT	NantOmics
BS_Q79NP5YY	NantOmics
BS_Q9V7A95C	NantOmics
BS_QAG1RDXN	NantOmics
BS_QB7YGKN1	NantOmics
BS_QB84TBA3	NantOmics
BS_QBR4WCQ2	NantOmics
BS_QC3XCE6X	NantOmics
BS_QEYPFYHD	NantOmics
BS_QH82PBMB	NantOmics
BS_QHS3V0GP	NantOmics
BS_QJ3XB7XZ	NOT REPORTED
BS_QKT3TJVK	NOT REPORTED
BS_QNAQGAV6	NantOmics
BS_QNNX91SM	The Translational Genomics Research Institute
BS_QP6MSKRE	NantOmics
BS_QPPPGYP4	NantOmics
BS_QRDT19KS	NantOmics
BS_QRNSKFMS	NantOmics
BS_QSTAVWGE	NantOmics
BS_QT3NZ2YZ	NantOmics
BS_QV51J756	NantOmics
BS_QWNBZ9RJ	NantOmics
BS_QWTE1CWR	NantOmics
BS_QX12J6W1	NantOmics
BS_QXKRN6CR	BGI@CHOP Genome Center
BS_QYPHA40N	NantOmics
BS_QZFEB94Q	NantOmics
BS_R232Y3SW	NOT REPORTED
BS_R244Z0WX	NantOmics
BS_R439VVPK	NantOmics
BS_R4Y180DM	NantOmics
BS_R5SNFB5B	NantOmics
BS_R7NTZR4C	The Translational Genomics Research Institute
BS_R9B92M75	The Translational Genomics Research Institute
BS_RB2S0KDF	NantOmics
BS_RCCN63K6	NantOmics
BS_RGPSEMHC	NantOmics
BS_RGSMX7QD	NantOmics
BS_RHD7XPNP	NantOmics
BS_RQSKD7PN	NantOmics
BS_RRAEQZ97	NantOmics
BS_RSRPX3S8	NantOmics
BS_RVSEDNJ4	NantOmics
BS_RWJZFTP9	NantOmics
BS_RX1YTZ7F	BGI@CHOP Genome Center
BS_RXN5T5YT	NantOmics
BS_RZEEJETF	NOT REPORTED
BS_S1KK7XRH	NantOmics
BS_S1M423AB	NantOmics
BS_S2TA8R29	NantOmics
BS_S458NMKH	NantOmics
BS_S4V9E1XJ	NantOmics
BS_S4WH99C9	NOT REPORTED
BS_S50KQEXV	NantOmics
BS_S5KDWVEA	NOT REPORTED
BS_S5P8VTN5	NantOmics
BS_S69QZAJR	NantOmics
BS_S6Q7NKA3	BGI@CHOP Genome Center
BS_S6S7SK3P	NantOmics
BS_S71RJ8DH	NantOmics
BS_SAA624A4	NantOmics
BS_SB12W1XT	BGI
BS_SBFNFZ8B	NantOmics
BS_SD8YBRBR	NantOmics
BS_SDA4RMMG	NantOmics
BS_SDCNP7MW	NantOmics
BS_SDZY6RZ3	NantOmics
BS_SFKZSJN1	NantOmics
BS_SFRQXM76	NantOmics
BS_SHJA4MR0	BGI
BS_SHMC4902	NantOmics
BS_SKGJ5SY9	NantOmics
BS_SM1QE9FJ	NOT REPORTED
BS_SNVM7CZT	BGI@CHOP Genome Center
BS_SXCZ3CXN	NantOmics
BS_SXRS2P6T	NantOmics
BS_T0RKFEKR	NantOmics
BS_T1DVKKJB	NantOmics
BS_T1QMEH1N	NantOmics
BS_T1W4JA94	NantOmics
BS_T1YHK6B7	NantOmics
BS_T3DGY9J9	BGI@CHOP Genome Center
BS_TA9WP4TH	NantOmics
BS_TBWYAFSM	NantOmics
BS_TDEFAPNH	NantOmics
BS_TE0GVDNG	NantOmics
BS_TG93XC55	NantOmics
BS_TGS109T3	NantOmics
BS_TGW6HC4X	NantOmics
BS_THSPSG2Z	NantOmics
BS_TJTEF70D	BGI@CHOP Genome Center
BS_TK84K675	NantOmics
BS_TM9MH0RP	NantOmics
BS_TMTV769C	NantOmics
BS_TNRHHYNC	NantOmics
BS_TQ5QHR17	NantOmics
BS_TRKH2SPE	NantOmics
BS_TT20NP68	NOT REPORTED
BS_TV5B86ZD	BGI@CHOP Genome Center
BS_TW8DQH8J	BGI@CHOP Genome Center
BS_TXY8QYWA	NantOmics
BS_TXZ7KHTQ	BGI@CHOP Genome Center
